                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.3297,                 1.0632,                 1.4577,                0.69072,                0.74308,                0.76376,                0.45329,                 1.6097,                0.94485,                 1.8827,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.2728,                 1.0401,                 1.4378,                0.73199,                0.63512,                0.67856,                0.36756,                 1.6191,                  1.031,                  1.852,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.2699,                 1.0021,                  1.426,                0.82062,                0.62793,                0.70396,                0.38834,                 1.6178,                 1.0408,                 1.8983,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.2466,                 0.9938,                 1.4188,                0.64841,                0.76956,                0.78945,                0.44076,                 1.7466,                 1.1179,                 1.9603,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.2463,                 1.0085,                 1.4324,                0.85592,                0.62745,                0.72577,                 0.4157,                 1.5712,                0.90475,                 1.8113,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.2071,                0.99023,                 1.3942,                0.89337,                0.63948,                0.79818,                0.47082,                 1.6427,                0.88971,                 1.9314,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.2491,                0.96238,                 1.4241,                0.81932,                0.65359,                0.76425,                0.41936,                 1.6933,                0.91658,                 1.9179,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.2292,                0.99365,                 1.4087,                0.88836,                0.96471,                0.96358,                 0.5768,                   1.59,                0.83954,                 1.8605,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.2205,                0.95592,                 1.4158,                0.86744,                0.83137,                0.90249,                 0.4885,                 1.6527,                0.85821,                 1.9424,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.2548,                0.96473,                 1.4236,                0.86078,                0.96253,                0.95792,                0.52731,                 1.5976,                0.80108,                 1.9028,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.2167,                0.94293,                 1.3808,                0.84718,                0.63787,                0.71108,                0.39883,                 1.7542,                 1.0188,                 1.9599,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.1947,                 0.9336,                 1.3977,                0.90499,                0.80671,                0.90912,                0.52677,                 1.5313,                 0.7614,                 1.8246,               0.000467,               0.000467,               0.000467
                     71,                 1.1731,                 0.9003,                 1.3795,                0.82338,                0.74248,                0.80424,                0.45514,                 1.6125,                0.79877,                 1.8797,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.1908,                0.89396,                 1.3689,                0.78832,                0.90106,                0.87283,                0.52122,                 1.4968,                0.78007,                 1.8002,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.2051,                0.91949,                 1.3805,                0.87403,                0.66666,                0.72591,                0.44256,                 1.5859,                0.83917,                 1.8437,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.1962,                0.92554,                 1.3976,                0.87574,                0.69231,                0.86734,                 0.4694,                 1.6286,                0.81596,                 1.9275,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.1649,                0.90096,                 1.3451,                0.91792,                0.78039,                0.88738,                0.46243,                 1.5939,                0.74484,                  1.842,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.1699,                 0.8943,                 1.3555,                0.93122,                0.84616,                0.93529,                0.52672,                 1.5764,                0.73599,                 1.7978,             0.00038211,             0.00038211,             0.00038211
                     77,                  1.122,                0.84002,                 1.3426,                0.87821,                0.73477,                0.89761,                0.50025,                 1.6173,                0.84027,                  1.892,             0.00036797,             0.00036797,             0.00036797
                     78,                   1.15,                0.87012,                 1.3551,                0.93448,                0.78954,                0.90126,                 0.5231,                 1.5833,                 0.7563,                 1.8955,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.1276,                0.85076,                 1.3439,                0.71358,                0.84391,                 0.9026,                0.50305,                 1.7624,                0.81786,                 2.0165,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.0836,                0.81322,                 1.3077,                0.95487,                0.85359,                0.89339,                0.48969,                 1.6141,                0.78086,                 1.9201,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.1192,                0.83724,                  1.341,                0.74984,                0.71373,                0.70672,                0.41744,                 1.6038,                0.74465,                 1.8639,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.1102,                0.84401,                  1.345,                0.90559,                0.69804,                0.77528,                0.45079,                 1.5927,                0.76436,                 1.8539,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.1193,                0.83845,                 1.3241,                 0.9228,                 0.8283,                0.86456,                0.51047,                 1.5928,                0.75126,                 1.8684,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.0694,                0.78345,                 1.3102,                0.72666,                0.83791,                0.86531,                0.47401,                 1.6423,                0.80372,                 1.8864,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.0574,                0.77661,                 1.3074,                0.91791,                0.84706,                0.86057,                0.46665,                  1.683,                0.80283,                 1.9486,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.0564,                0.79331,                 1.3001,                0.89681,                0.82282,                0.88868,                0.50911,                 1.6551,                0.71234,                 1.9299,             0.00024064,             0.00024064,             0.00024064
